Reason,Path,Title,PageViews,Freshness (report),LastReviewed (file)
fresh-at-runtime,powerbi-docs/developer/embedded/embed-service-principal.md,Embed Power BI content in an embedded analytics application with service principal and an application secret - Power BI,28719.0,271-365 days,2024-11-14
fresh-at-runtime,powerbi-docs/create-reports/service-export-to-pbix.md,Download a report from the Power BI service to Power BI Desktop - Power BI,24236.0,271-365 days,2025-02-05
fresh-at-runtime,powerbi-docs/collaborate-share/service-roles-new-workspaces.md,Roles in workspaces in Power BI - Power BI,16306.0,271-365 days,2024-11-25
fresh-at-runtime,powerbi-docs/guidance/star-schema.md,Understand star schema and the importance for Power BI - Power BI,15252.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/desktop-report-themes.md,Use report themes in Power BI Desktop - Power BI,13467.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/transform-model/desktop-composite-models.md,Use composite models in Power BI Desktop - Power BI,13321.0,271-365 days,2024-12-16
fresh-at-runtime,powerbi-docs/create-reports/desktop-sharepoint-save-share.md,Power BI Desktop OneDrive and SharePoint integration - Power BI,13238.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/create-reports/service-dashboards.md,Intro to dashboards for Power BI designers - Power BI,12390.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/developer/visuals/import-visual.md,Import Power BI visuals from AppSource or from a file - Power BI,11626.0,271-365 days,2025-01-12
fresh-at-runtime,powerbi-docs/create-reports/desktop-bookmarks.md,Create report bookmarks in Power BI - Power BI,11091.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/consumer/end-user-report-open.md,View a report - Power BI,9805.0,271-365 days,2025-01-09
fresh-at-runtime,powerbi-docs/collaborate-share/service-embed-report-spo.md,Embed a report web part in SharePoint Online - Power BI,8757.0,271-365 days,2025-01-07
fresh-at-runtime,powerbi-docs/collaborate-share/service-modern-usage-metrics.md,Monitor usage metrics in workspaces (preview) - Power BI,7084.0,271-365 days,2025-01-14
fresh-at-runtime,powerbi-docs/developer/embedded/embed-sample-for-customers.md,Embed content in your Power BI embedded analytics application - Power BI,6496.0,271-365 days,2025-01-06
fresh-at-runtime,powerbi-docs/consumer/end-user-fresh.md,How to be sure that content is up to date - Power BI,6424.0,271-365 days,2025-01-09
fresh-at-runtime,powerbi-docs/connect-data/desktop-data-sources.md,Data sources in Power BI Desktop - Power BI,6207.0,271-365 days,2024-11-12
fresh-at-runtime,powerbi-docs/create-reports/service-goals-create.md,Create scorecards and manual metrics - Power BI,6001.0,271-365 days,2024-11-18
fresh-at-runtime,powerbi-docs/create-reports/desktop-accessibility-consuming-tools.md,Consume reports in Power BI with accessibility tools - Power BI,5974.0,271-365 days,2024-12-02
fresh-at-runtime,powerbi-docs/collaborate-share/service-automate-power-bi-report-export.md,Export and email a report with Power Automate - Power BI,5855.0,271-365 days,2024-12-12
fresh-at-runtime,powerbi-docs/transform-model/service-edit-data-models.md,Edit semantic models in the Power BI service - Power BI,5272.0,271-365 days,2025-01-12
fresh-at-runtime,powerbi-docs/connect-data/incremental-refresh-configure.md,Configure incremental refresh for Power BI semantic models - Power BI,4972.0,271-365 days,2024-12-03
fresh-at-runtime,powerbi-docs/guidance/power-bi-optimization.md,Optimization guide for Power BI - Power BI,4865.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/migrate-ssrs-reports-to-power-bi.md,Plan to migrate .rdl reports to Power BI - Power BI,4602.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/visuals/environment-setup.md,Setting up an environment for developing a Power BI visual - Power BI,4484.0,271-365 days,2024-11-20
fresh-at-runtime,powerbi-docs/developer/embedded/register-app.md,Register a Power BI Embedded app - Power BI,4373.0,271-365 days,2025-02-02
fresh-at-runtime,powerbi-docs/connect-data/service-real-time-streaming.md,Real-time streaming in Power BI - Power BI,4248.0,271-365 days,2025-01-27
fresh-at-runtime,powerbi-docs/connect-data/service-get-data.md,Data sources for the Power BI service - Power BI,4082.0,271-365 days,2024-12-03
fresh-at-runtime,powerbi-docs/guidance/model-date-tables.md,Design guidance for date tables in Power BI Desktop - Power BI,4066.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/desktop-sort-by-column.md,Sort one column by another column in Power BI - Power BI,4003.0,271-365 days,2024-11-25
fresh-at-runtime,powerbi-docs/consumer/end-user-change-sort.md,Change how a chart is sorted in a report - Power BI,3901.0,271-365 days,2025-01-06
fresh-at-runtime,powerbi-docs/create-reports/copilot-power-bi-desktop.md,Use Copilot in Power BI Desktop - Power BI,3679.0,271-365 days,2025-01-09
fresh-at-runtime,powerbi-docs/connect-data/desktop-sharepoint-online-list.md,Create a report on a SharePoint List in Power BI Desktop - Power BI,3596.0,271-365 days,2024-12-03
fresh-at-runtime,powerbi-docs/connect-data/desktop-access-database-errors.md,Troubleshoot Access and XLS import issues in Power BI - Power BI,3500.0,271-365 days,2024-12-03
fresh-at-runtime,powerbi-docs/create-reports/desktop-buttons.md,Create and configure buttons in Power BI reports - Power BI,3411.0,271-365 days,2024-12-20
fresh-at-runtime,powerbi-docs/create-reports/desktop-upload-desktop-files.md,Publish from Power BI Desktop - Power BI,3338.0,271-365 days,2024-11-12
fresh-at-runtime,powerbi-docs/consumer/end-user-apps.md,Apps in Power BI - Power BI,3287.0,271-365 days,2025-01-06
fresh-at-runtime,powerbi-docs/guidance/import-modeling-data-reduction.md,Data reduction techniques for Import modeling - Power BI,3186.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/collaborate-share/service-request-access.md,Request or grant access to dashboards or reports - Power BI,2952.0,271-365 days,2024-11-15
fresh-at-runtime,powerbi-docs/consumer/org-app-items/org-app-items.md,Get started with org apps (preview) - Power BI,2942.0,271-365 days,2025-01-30
fresh-at-runtime,powerbi-docs/connect-data/desktop-report-lifecycle-datasets.md,Connect to semantic models in Power BI - Power BI,2918.0,271-365 days,2024-12-03
fresh-at-runtime,powerbi-docs/transform-model/service-semantic-model-version-history.md,Use semantic model version history (preview) - Power BI,2672.0,271-365 days,2025-01-12
fresh-at-runtime,powerbi-docs/consumer/end-user-dashboards.md,Dashboards for business users of the Power BI service - Power BI,2593.0,271-365 days,2025-01-06
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap.md,Microsoft Fabric adoption roadmap - Power BI,2579.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/report-server/compare-report-server-service.md,Compare Power BI Report Server and the Power BI service - Power BI,2565.0,271-365 days,2025-02-03
fresh-at-runtime,powerbi-docs/guidance/relationships-many-to-many.md,Many-to-many relationship guidance - Power BI,2523.0,271-365 days,2024-12-27
fresh-at-runtime,powerbi-docs/consumer/end-user-visualizations.md,Working with visualizations (visuals) as a business user - Power BI,2516.0,271-365 days,2025-01-11
fresh-at-runtime,powerbi-docs/guidance/admin-activity-log.md,Access the Power BI activity log - Power BI,2472.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/connect-data/asynchronous-refresh.md,Enhanced refresh with the Power BI REST API - Power BI,2429.0,271-365 days,2025-01-07
fresh-at-runtime,powerbi-docs/guidance/rls-guidance.md,Row-level security (RLS) guidance in Power BI Desktop - Power BI,2408.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/connect-data/service-template-apps-overview.md,What are Power BI template apps? - Power BI,2381.0,271-365 days,2025-11-04
fresh-at-runtime,powerbi-docs/visuals/power-bi-visualization-anomaly-detection.md,Anomaly detection tutorial - Power BI,2336.0,271-365 days,2025-01-28
fresh-at-runtime,powerbi-docs/create-reports/service-dashboard-tiles.md,Intro to dashboard tiles for Power BI designers - Power BI,2263.0,> 365 days,2025-11-04
fresh-at-runtime,powerbi-docs/connect-data/desktop-sap-bw-connector.md,SAP Business Warehouse (BW) Connector in Power BI Desktop - Power BI,2189.0,271-365 days,2024-12-03
fresh-at-runtime,powerbi-docs/consumer/end-user-sign-in.md,Sign in and out of the Power BI service - Power BI,2149.0,271-365 days,2025-01-11
fresh-at-runtime,powerbi-docs/connect-data/service-gateway-onprem-indepth.md,On-premises data gateway in-depth - Power BI,2032.0,> 365 days,2025-11-06
fresh-at-runtime,powerbi-docs/create-reports/service-the-report-editor-take-a-tour.md,Tour the Power BI report editor - Power BI,1995.0,> 365 days,2025-11-07
fresh-at-runtime,powerbi-docs/visuals/power-bi-visualization-radial-gauge-charts.md,Radial gauge charts in Power BI - Power BI,1929.0,> 365 days,2025-11-07
fresh-at-runtime,powerbi-docs/guidance/power-query-folding.md,Query folding guidance in Power BI Desktop - Power BI,1912.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-dashboard-themes.md,Use dashboard themes in the Power BI service - Power BI,1868.0,> 365 days,2025-11-04
fresh-at-runtime,powerbi-docs/developer/embedded/generate-embed-token.md,Generate an embed token in Power BI embedded analytics - Power BI,1675.0,271-365 days,2025-01-02
fresh-at-runtime,powerbi-docs/consumer/end-user-q-and-a.md,Q&A for Power BI business users - Power BI,1670.0,271-365 days,2025-01-10
fresh-at-runtime,powerbi-docs/guidance/directquery-model-guidance.md,DirectQuery model guidance in Power BI Desktop - Power BI,1633.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/buttons-apply-all-clear-all-slicers.md,Create Apply all and Clear all slicers buttons in reports - Power BI,1608.0,271-365 days,2024-12-06
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-enterprise-bi.md,Power BI usage scenarios: Enterprise BI - Power BI,1542.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/consumer/end-user-workspaces.md,How content is organized in workspaces - Power BI,1499.0,271-365 days,2025-01-11
fresh-at-runtime,powerbi-docs/consumer/end-user-dashboard-open.md,View a Power BI dashboard - Power BI,1444.0,271-365 days,2025-01-06
fresh-at-runtime,powerbi-docs/guidance/relationships-active-inactive.md,Active vs inactive relationship guidance - Power BI,1438.0,271-365 days,2024-12-27
fresh-at-runtime,powerbi-docs/consumer/end-user-personalize-visuals.md,Personalize visuals in a report - Power BI,1437.0,271-365 days,2024-11-12
fresh-at-runtime,powerbi-docs/consumer/end-user-comment.md,Add comments to dashboards and reports - Power BI,1408.0,271-365 days,2025-01-06
fresh-at-runtime,powerbi-docs/connect-data/service-gateway-enterprise-manage-ssas.md,Manage SQL Server Analysis Services data sources - Power BI,1380.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/collaborate-share/power-bi-dynamic-report-subscriptions.md,Create a dynamic subscription for a Power BI report - Power BI,1338.0,> 365 days,2025-10-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-data-gateways.md,Power BI implementation planning: Data gateways - Power BI,1309.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/power-bi-reports-add-text-and-shapes.md,"Add text, shapes, and smart narrative visuals to reports - Power BI",1304.0,271-365 days,2025-01-21
fresh-at-runtime,powerbi-docs/developer/embedded/create-an-azure-active-directory-tenant.md,Create a Microsoft Entra tenant for Power BI embedded - Power BI,1293.0,271-365 days,2025-01-19
fresh-at-runtime,powerbi-docs/consumer/end-user-focus.md,Focus mode and View mode - how to zoom in to see more detail - Power BI,1288.0,271-365 days,2025-01-07
fresh-at-runtime,powerbi-docs/guidance/center-of-excellence-business-intelligence-solution-architecture.md,BI solution architecture in the Center of Excellence - Power BI,1283.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/visuals/power-bi-visualization-funnel-charts.md,Create and use funnel charts in Power BI - Power BI,1265.0,> 365 days,2025-09-30
fresh-at-runtime,powerbi-docs/consumer/end-user-report-filter.md,Tour the report Filters pane - Power BI,1226.0,271-365 days,2025-01-09
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-introduction.md,Power BI implementation planning - Power BI,1208.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/embedded/export-paginated-report.md,Export Power BI embedded analytics paginated reports API - Power BI,1192.0,271-365 days,2024-12-23
fresh-at-runtime,powerbi-docs/guidance/relationships-bidirectional-filtering.md,Bi-directional relationship guidance - Power BI,1175.0,271-365 days,2024-12-27
fresh-at-runtime,powerbi-docs/report-server/find-product-key.md,How to find your report server product key - Power BI,1074.0,271-365 days,2024-12-04
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-diagrams.md,Power BI usage scenario diagrams - Power BI,1060.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-goals-introduction.md,Get started with goals in Power BI - Power BI,1056.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/create-reports/service-quick-create-report.md,Create quick reports in the Power BI service - Power BI,1045.0,271-365 days,2024-11-26
fresh-at-runtime,powerbi-docs/guidance/gateway-onprem-sizing.md,On-premises data gateway sizing - Power BI,1028.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/visuals/power-bi-visualization-column-charts.md,Create a column chart in Power BI - Power BI,1020.0,> 365 days,2025-11-04
fresh-at-runtime,powerbi-docs/consumer/end-user-insight-types.md,Types of Insights supported by Power BI - Power BI,1007.0,271-365 days,2025-01-09
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-content-lifecycle-management-develop-manage.md,Power BI implementation planning: Develop content and manage changes - Power BI,991.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/paginated-reports/download-powerbi-report-builder.md,Download Power BI Report Builder - Power BI,985.0,271-365 days,2025-01-08
fresh-at-runtime,powerbi-docs/guidance/auto-date-time.md,Auto date/time guidance in Power BI Desktop - Power BI,983.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/power-query-referenced-queries.md,Referencing Power Query queries - Power BI,935.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-managed-self-service-bi.md,Power BI usage scenarios: Managed self-service BI - Power BI,917.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-overview.md,Power BI usage scenarios - Power BI,869.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-governance.md,Microsoft Fabric adoption roadmap: Governance - Power BI,859.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-center-of-excellence.md,Microsoft Fabric adoption roadmap: Center of Excellence - Power BI,839.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/natural-language/q-and-a-data-sources.md,Data sources for natural language Q&A - Power BI,836.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-embed-for-your-customers.md,Power BI usage scenarios: Embed for your customers - Power BI,799.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/relationships-one-to-one.md,One-to-one relationship guidance - Power BI,799.0,271-365 days,2024-12-27
fresh-at-runtime,powerbi-docs/guidance/monitor-report-performance.md,Monitor report performance in Power BI - Power BI,788.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-workspaces-workspace-level-planning.md,Implementation Planning: Workspace-Level Workspaces - Power BI,779.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/power-bi-customize-button.md,Customize buttons in Power BI reports - Power BI,766.0,271-365 days,2024-12-20
fresh-at-runtime,powerbi-docs/guidance/powerbi-migration-overview.md,Power BI migration overview - Power BI,748.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/developer/embedded/embed-paginated-reports.md,Embed paginated reports in your embedded analytics app - Power BI,733.0,271-365 days,2025-02-02
fresh-at-runtime,powerbi-docs/guidance/using-rdl-migration-tool.md,Using the RDL Migration tool - Power BI,722.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-usage-scenario-advanced-data-model-management.md,Power BI usage scenarios: Advanced data model management - Power BI,695.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/end-user-show-data.md,Show the data that was used to create the report visual - Power BI,677.0,271-365 days,2025-01-01
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-content-lifecycle-management-overview.md,Power BI implementation planning: Content lifecycle management - Power BI,670.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/collaborate-share/end-user-shared-with-me.md,Display the dashboards and reports that others share with me - Power BI,667.0,271-365 days,2025-01-06
fresh-at-runtime,powerbi-docs/guidance/composite-model-guidance.md,Composite model guidance in Power BI Desktop - Power BI,659.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/report-paginated-or-power-bi.md,When to use paginated reports in Power BI - Power BI,657.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/fabric-adoption-roadmap-maturity-levels.md,Microsoft Fabric adoption roadmap maturity levels - Power BI,653.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-tenant-administration.md,Power BI implementation planning: Tenant administration - Power BI,645.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-content-lifecycle-management-deploy.md,Power BI implementation planning: Deploy content - Power BI,631.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-goals-get-started-hierarchies.md,Get started with hierarchies in Power BI Scorecards - Power BI,625.0,271-365 days,2024-11-30
fresh-at-runtime,powerbi-docs/connect-data/desktop-directquery-sap-hana.md,DirectQuery for SAP HANA in Power BI - Power BI,571.0,271-365 days,2024-12-10
fresh-at-runtime,powerbi-docs/create-reports/service-goals-create-connected.md,Create connected goals in Power BI - Power BI,544.0,271-365 days,2024-11-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-security-report-consumer-planning.md,Power BI implementation planning: Report consumer security planning - Power BI,541.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-tenant-setup.md,Power BI implementation planning: Tenant setup - Power BI,534.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/report-separate-from-model.md,Separate reports from models in Power BI Desktop - Power BI,530.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-bi-strategy-overview.md,Power BI implementation planning: BI strategy overview - Power BI,526.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/powerbi-implementation-planning-security-tenant-level-planning.md,Power BI implementation planning: Tenant-level security planning - Power BI,526.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/guidance/report-paginated-blank-page.md,Avoid blank pages when printing paginated reports - Power BI,522.0,271-365 days,2024-12-30
fresh-at-runtime,powerbi-docs/create-reports/service-q-and-a-direct-query.md,Use Q&A with live connections in Power BI - Power BI,514.0,271-365 days,2024-12-05
fresh-at-runtime,powerbi-docs/guidance/report-performance-troubleshoot.md,Troubleshoot report performance in Power BI - Power BI,498.0,271-365 days,2024-12-30
